"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"364",0,0,0,0,1,0,0,FALSE
"365",0,0,0,0,0,0,0,FALSE
"366",0,0,0,0,0,0,0,FALSE
"368",0,0,0,0,0,0,0,FALSE
"369",0,0,1,0,0,0,0,FALSE
"370",0,0,0,0,0,0,0,FALSE
"371",0,0,0,1,0,0,0,FALSE
"372",0,0,0,0,0,0,0,FALSE
"373",0,0,0,0,0,0,0,FALSE
"377",0,0,1,0,0,0,0,FALSE
"378",0,0,1,0,0,0,0,FALSE
"380",0,0,0,1,0,0,0,FALSE
"381",1,1,1,1,1,1,1,FALSE
"382",0,0,0,1,0,0,0,FALSE
"383",1,1,1,0,1,1,1,FALSE
"384",0,0,0,0,0,0,0,FALSE
"385",0,0,0,1,0,0,0,TRUE
"386",0,1,0,1,0,0,0,FALSE
"387",0,0,0,0,0,0,0,FALSE
"388",0,0,0,0,0,0,0,FALSE
"389",0,0,0,1,0,0,0,TRUE
"393",0,0,0,0,0,0,0,FALSE
"394",0,0,0,1,0,0,0,FALSE
"395",0,1,1,1,1,1,1,FALSE
"397",0,0,1,0,1,0,0,FALSE
"398",0,0,0,0,0,0,0,FALSE
"399",0,0,0,1,0,0,0,FALSE
"400",0,0,0,1,0,0,0,FALSE
"401",0,0,0,0,0,0,0,FALSE
"403",0,0,0,0,0,0,0,FALSE
"404",0,1,1,1,1,1,0,FALSE
"405",0,0,0,0,0,0,0,FALSE
"408",0,0,0,1,0,0,0,FALSE
"410",0,1,1,1,0,0,0,FALSE
"411",0,0,1,1,0,0,0,FALSE
"414",0,0,1,0,0,1,1,FALSE
"415",0,0,0,0,0,0,0,FALSE
"416",0,1,0,1,0,1,0,TRUE
"418",1,0,1,1,0,1,1,FALSE
"419",0,1,0,0,0,0,0,FALSE
"420",0,0,0,1,0,1,0,FALSE
"421",0,0,0,0,0,0,0,FALSE
"422",0,0,0,1,0,0,0,TRUE
"423",0,0,1,0,0,0,1,FALSE
"424",0,0,1,0,1,0,0,FALSE
"426",0,0,0,0,0,0,0,FALSE
"428",1,0,0,0,0,1,0,FALSE
"429",0,0,0,0,0,0,0,FALSE
"431",1,0,1,1,0,0,0,FALSE
"432",0,0,0,0,0,0,0,FALSE
"433",0,0,0,0,0,0,0,FALSE
"434",0,1,1,1,0,1,1,FALSE
"435",0,0,1,0,0,1,0,FALSE
"436",0,0,0,0,0,0,0,FALSE
"437",0,0,0,0,0,0,0,FALSE
"438",1,0,0,0,0,0,0,FALSE
"439",1,0,0,0,0,0,0,FALSE
"440",0,1,1,0,0,0,0,FALSE
"441",1,0,1,1,0,1,1,FALSE
"442",0,1,1,0,0,0,0,FALSE
"443",0,0,1,0,0,0,0,FALSE
"444",0,1,0,0,0,0,0,FALSE
"445",0,0,0,0,0,0,0,FALSE
"446",0,0,0,0,0,0,0,FALSE
"447",0,0,0,0,0,0,0,FALSE
"448",0,0,0,0,0,0,0,FALSE
"450",0,0,0,1,0,0,0,FALSE
"451",0,1,1,1,0,1,1,FALSE
"452",1,1,1,0,0,1,1,FALSE
"453",0,0,0,0,0,0,0,FALSE
"455",1,0,0,0,0,0,0,FALSE
"456",0,0,0,0,0,0,0,FALSE
"457",1,0,0,0,1,0,0,FALSE
"458",0,0,0,0,0,0,0,FALSE
"459",0,0,0,0,0,0,0,FALSE
"460",0,0,0,0,0,0,0,FALSE
"461",0,0,0,0,0,0,0,FALSE
"462",0,0,0,0,0,0,0,FALSE
"471",0,0,0,0,0,0,0,FALSE
"473",0,0,0,0,0,1,0,FALSE
"474",0,0,0,0,0,0,0,FALSE
"475",0,0,1,0,0,0,0,FALSE
"478",0,0,0,0,0,1,0,FALSE
"479",0,0,0,0,0,0,0,FALSE
"480",0,0,0,0,0,0,0,FALSE
"481",0,0,1,0,0,0,0,TRUE
"482",1,0,0,0,0,0,0,FALSE
"483",0,0,1,0,0,0,0,FALSE
"484",0,0,0,0,0,0,0,FALSE
"485",0,0,0,0,0,1,0,FALSE
"486",0,0,0,0,0,0,0,FALSE
"487",1,0,0,0,0,0,0,FALSE
"488",0,0,0,0,0,0,0,FALSE
"489",0,0,1,0,0,1,0,FALSE
"492",0,0,0,0,0,0,0,FALSE
"493",0,0,1,1,0,0,1,FALSE
"494",0,0,1,0,0,0,0,FALSE
"495",0,0,0,0,0,0,0,FALSE
"496",1,0,1,0,0,0,0,FALSE
"497",0,0,1,0,0,0,0,FALSE
"499",0,0,0,0,0,0,0,FALSE
"500",0,0,0,0,0,0,0,FALSE
"501",0,0,0,1,0,0,0,FALSE
"502",0,0,0,0,0,0,0,FALSE
"503",0,0,0,0,0,0,0,FALSE
"505",0,0,1,0,0,0,0,FALSE
"507",0,0,0,0,0,0,0,FALSE
"508",0,0,0,0,0,0,0,FALSE
"509",0,0,1,0,0,0,0,FALSE
"510",0,0,0,0,0,0,0,FALSE
"511",1,1,1,1,1,1,1,FALSE
"512",1,0,1,1,1,0,1,TRUE
"514",0,0,1,0,0,0,0,FALSE
"515",0,0,0,0,0,0,0,FALSE
"518",0,0,0,0,0,0,0,FALSE
"519",1,1,1,0,1,0,0,FALSE
"521",0,0,0,0,0,0,0,FALSE
"522",1,0,0,0,0,0,0,FALSE
"526",1,0,1,0,1,0,0,FALSE
"527",0,1,1,0,1,0,0,FALSE
"528",0,0,0,0,0,0,0,FALSE
"529",0,1,1,1,0,0,0,FALSE
"530",0,0,0,0,0,0,0,FALSE
"531",0,0,1,0,0,0,0,FALSE
"532",0,0,0,0,0,0,0,FALSE
"533",0,1,1,1,1,0,0,FALSE
"535",0,0,0,0,0,0,0,FALSE
"540",1,0,0,0,0,0,0,FALSE
"541",0,0,0,0,0,0,0,FALSE
"542",0,0,0,0,0,0,0,FALSE
"543",1,0,0,0,0,0,0,FALSE
"544",0,0,0,0,0,0,0,FALSE
"545",0,0,0,0,0,0,0,FALSE
"546",0,0,0,0,0,0,0,FALSE
"547",0,0,0,0,0,0,0,FALSE
"548",0,0,0,0,0,0,0,FALSE
"549",0,0,0,0,0,0,0,FALSE
"550",1,0,0,0,0,0,0,TRUE
"551",0,0,0,0,0,0,0,FALSE
"553",0,0,0,0,0,0,0,FALSE
"555",1,0,0,0,0,0,0,FALSE
"557",1,1,1,0,0,0,0,FALSE
"558",0,0,0,0,0,0,0,FALSE
"559",0,0,0,0,0,0,0,FALSE
"560",0,0,0,0,0,0,0,FALSE
"561",0,1,1,0,0,1,1,FALSE
"566",0,0,1,0,0,0,0,FALSE
"568",1,0,1,0,0,0,1,FALSE
"569",0,0,1,0,0,1,0,FALSE
"570",0,0,1,0,0,0,0,FALSE
"571",0,0,0,0,0,0,0,FALSE
"572",0,1,1,0,0,0,0,FALSE
"573",0,0,0,0,0,0,0,FALSE
"574",0,0,0,0,0,0,0,TRUE
"575",0,0,1,0,0,0,0,FALSE
"576",0,0,0,0,0,0,0,FALSE
"577",0,0,1,0,0,1,0,FALSE
"578",0,0,1,0,0,0,0,FALSE
"579",0,0,1,1,0,0,0,FALSE
"580",0,0,1,1,0,1,1,TRUE
"581",0,0,0,0,0,0,0,FALSE
"582",0,0,0,0,0,0,0,FALSE
"583",0,0,1,0,0,0,0,FALSE
"584",0,0,1,0,0,0,0,FALSE
"585",0,0,0,0,0,0,0,FALSE
"586",0,0,0,0,0,0,0,TRUE
"587",0,0,0,0,0,0,0,FALSE
"588",0,0,0,0,0,0,1,FALSE
"589",0,0,1,0,0,0,0,FALSE
"591",1,0,0,1,0,0,0,FALSE
"592",0,0,0,1,0,0,0,FALSE
"593",0,0,0,0,0,0,0,FALSE
"594",0,0,1,1,0,0,0,FALSE
"595",0,0,1,1,0,0,0,FALSE
"596",1,0,0,0,0,0,0,FALSE
"597",0,0,0,0,0,0,0,FALSE
"598",0,0,0,0,0,0,0,FALSE
"599",0,0,0,0,0,0,0,FALSE
"600",0,0,0,0,0,0,0,FALSE
"602",0,0,0,0,0,0,0,FALSE
"603",0,0,0,0,0,1,0,FALSE
"604",0,0,0,0,0,0,0,FALSE
"605",0,0,0,0,0,0,0,FALSE
"606",0,0,1,0,0,1,0,FALSE
"607",0,0,0,0,0,0,0,FALSE
"608",0,0,0,0,0,0,0,FALSE
"609",0,0,0,0,0,0,0,FALSE
"610",0,1,1,0,0,1,1,FALSE
"612",0,0,0,1,0,0,0,FALSE
"613",0,0,0,0,0,0,0,TRUE
"614",0,0,0,0,0,0,0,FALSE
"615",0,0,0,0,0,0,0,FALSE
"616",0,0,0,0,0,0,0,FALSE
"617",0,0,0,0,0,0,0,FALSE
"620",0,0,1,0,0,0,0,FALSE
"621",1,1,1,0,0,0,0,FALSE
"622",1,0,0,1,0,0,0,FALSE
"623",0,0,1,0,0,0,0,FALSE
"624",0,0,0,1,0,1,0,FALSE
"625",0,0,0,0,0,0,0,FALSE
"626",1,1,1,1,0,1,0,FALSE
"627",0,0,1,1,0,0,1,FALSE
"628",1,0,0,0,0,0,0,FALSE
"629",0,0,0,0,0,1,0,FALSE
"630",0,0,1,0,0,1,0,FALSE
"631",0,1,1,0,0,0,1,FALSE
"632",0,0,0,0,0,0,0,FALSE
"635",0,0,1,0,0,0,1,FALSE
"637",0,0,0,0,0,0,0,FALSE
"638",0,0,1,0,0,0,0,FALSE
"639",0,1,1,0,0,1,0,FALSE
"640",0,0,0,0,0,0,0,FALSE
"641",0,0,0,0,0,0,0,FALSE
"643",1,0,0,0,0,0,0,TRUE
"644",0,0,0,0,0,0,0,FALSE
"645",1,0,1,1,0,0,0,FALSE
"646",0,0,0,0,0,0,0,FALSE
"647",0,0,0,0,0,0,0,FALSE
"648",0,1,1,1,1,0,1,FALSE
